Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,83199.000000,83643.000000,82602.000000,82714.000000,82714.000000,2843000
2018-05-08,82715.000000,83409.000000,82201.000000,82956.000000,82956.000000,3949500
2018-05-09,82977.000000,84447.000000,82855.000000,84265.000000,84265.000000,4695400
2018-05-10,84284.000000,86201.000000,84284.000000,85861.000000,85861.000000,4611100
2018-05-11,85861.000000,86406.000000,85183.000000,85220.000000,85220.000000,4379700
2018-05-14,85222.000000,86105.000000,84688.000000,85232.000000,85232.000000,4080700
2018-05-15,85225.000000,85231.000000,83830.000000,85130.000000,85130.000000,4405100
2018-05-16,85122.000000,86678.000000,85044.000000,86537.000000,86537.000000,3707000
2018-05-17,86537.000000,86537.000000,83377.000000,83622.000000,83622.000000,5508600
2018-05-18,83614.000000,83614.000000,81391.000000,83082.000000,83082.000000,5730200
2018-05-21,83095.000000,83883.000000,81576.000000,81815.000000,81815.000000,4242200
2018-05-22,81817.000000,83396.000000,81613.000000,82739.000000,82739.000000,4785500
2018-05-23,82742.000000,82742.000000,80867.000000,80867.000000,80867.000000,3875500
2018-05-24,80860.000000,80860.000000,79027.000000,80122.000000,80122.000000,6182200
2018-05-25,80123.000000,80629.000000,78622.000000,78898.000000,78898.000000,4650100
2018-05-28,78886.000000,78886.000000,75337.000000,75356.000000,75356.000000,4176200
2018-05-29,75361.000000,77214.000000,75361.000000,76072.000000,76072.000000,5972300
2018-05-30,76058.000000,77097.000000,75515.000000,76754.000000,76754.000000,7442100
2018-06-01,76779.000000,78169.000000,75524.000000,77240.000000,77240.000000,6044400
2018-06-04,77244.000000,78637.000000,77244.000000,78596.000000,78596.000000,4023100
2018-06-05,78595.000000,78892.000000,76412.000000,76642.000000,76642.000000,4499800
2018-06-06,76641.000000,76967.000000,75518.000000,76117.000000,76117.000000,4871700
2018-06-07,76117.000000,76117.000000,71162.000000,73851.000000,73851.000000,7919200
2018-06-08,73848.000000,74031.000000,71679.000000,72942.000000,72942.000000,5952400
2018-06-11,72943.000000,73716.000000,71843.000000,72308.000000,72308.000000,3564300
2018-06-12,72308.000000,73322.000000,72124.000000,72754.000000,72754.000000,3889600
2018-06-13,72757.000000,72977.000000,71035.000000,72122.000000,72122.000000,4360200
2018-06-14,72151.000000,72708.000000,71344.000000,71421.000000,71421.000000,4281600
2018-06-15,71421.000000,71421.000000,69583.000000,70758.000000,70758.000000,6456800
2018-06-18,70757.000000,70757.000000,69360.000000,69815.000000,69815.000000,3475200
2018-06-19,69811.000000,72010.000000,69069.000000,71394.000000,71394.000000,5185300
